Symbol,CoinName
CND,Cindicator
CND*,Canada eCoin
CNL,ConcealCoin
CNMT,Coinomat
CNO,Coino
CNT,Centurion
CNX,Cryptonex
CNX*,Cryptonetix
COB,Cobinhood
COC,Community Coin
COE,CoEval
COIN,Coin
COLX,ColossusCoinXT
COMM,Community Coin
CON,Paycon
COOL,CoolCoin
COR,Corion
CORAL,CoralPay
CORE,Core Group Asset
COSS,COSS
COV,Covesting
COV*,CovenCoin
COVAL,Circuits of Value
COX,CobraCoin
CPAY,CryptoPay
CPC,CapriCoin
CQST,ConquestCoin
CRAB,CrabCoin
CRACK,CrackCoin
CRAFT,Craftcoin
CRAIG,CraigsCoin
CRAVE,CraveCoin
CRBIT,Creditbit 
CRC,CraftCoin
CRE,Credits
CREA,CreativeChain
CREVA,Creva Coin
CRM,Cream
CRNK,CrankCoin
CRPS,CryptoPennies
CRTM,Cryptum
CRW,Crown Coin
CRX,ChronosCoin
CRYPT,CryptCoin
CS,CryptoSpots
CSC,CasinoCoin
CSH,CashOut
CSMIC,Cosmic
CSNO,BitDice
CTC,CarterCoin
CTIC,Coinmatic
CTO,Crypto
CTR,Centra
CTT,CodeTract
CTX,CarTaxi
CUBE,DigiCube
CURE,Curecoin
CVC,Civic
CVCOIN,Crypviser
CWXT,CryptoWorldXToken
CXC,CheckCoin
CXT,Coinonat
CYC,ConSpiracy Coin 
CYG,Cygnus
CYP,CypherPunkCoin
CYT,Cryptokenz
CZC,Crazy Coin
DANK,DarkKush
DAR,Darcrus
DARK,Dark
DAS,DAS
DASH,DigitalCash
DAT,Datum
DB,DarkBit
DBG,Digital Bullion Gold
DBIC,DubaiCoin
DBIX,DubaiCoin
DBTC,DebitCoin
DCC,DarkCrave
DCK,DickCoin
DCN,Dentacoin
DCR,Decred
DCRE,DeltaCredits
DCS.,deCLOUDs
DCT,Decent
DCY,Dinastycoin
DDF,Digital Developers Fund
DEA,Degas Coin
DEEP,Deep Gold
DEM,eMark
DENT,Dent
DES,Destiny
DETH,DarkEther
DEUR,DigiEuro
DFBT,DentalFix
DFT,Draftcoin
DGB,DigiByte
DGC,DigiCoin
DGD,Digix DAO
DGDC,DarkGold
DGMS,Digigems
DGORE,DogeGoreCoin
DGT,DigiPulse
DICE,Etheroll
DIEM,CarpeDiemCoin
DIGS,Diggits
DIM,DIMCOIN
DIME,DimeCoin
DISK,Dark Lisk
DKC,DarkKnightCoin
DLC,DollarCoin
DLISK,Dlisk
DLR,DollarOnline
DLT,Agrello Delta
DMD,Diamond
DMT,DMarket
DNA,Encrypgen
DNET,Darknet
DNR,Denarius
DNT,district0x
DOGE,Dogecoin
DOGED,DogeCoinDark
DOGETH,EtherDoge
DOPE,DopeCoin
DOT,Dotcoin
DOV,DonationCoin
DOV*,DOVU
DP,DigitalPrice
DPAY,DelightPay
DRA,DraculaCoin
DRACO,DT Token
DRC,Dropcoin
DRGN,Dragonchain
DRKC,DarkCash
DRKT,DarkTron
DRM8,Dream8Coin
DROP,FaucetCoin
DRP,DCORP
DRS,Digital Rupees
DRT,DomRaider
DRZ,Droidz
DSB,DarkShibe
DSH,Dashcoin
DT,DarkToken
DTB,Databits
DTC,DayTrader Coin
DTCT,DetectorToken
DTR,Dynamic Trading Rights
DTT,DreamTeam Token
DTT*,Data Trading
DUB,DubCoin
DUCK,DuckDuckCoin
DUO,ParallelCoin
DUX,DuxCoin
DVC,DevCoin
DYN,Dynamic
EA,EagleCoin
EAC,EarthCoin
EAGS,EagsCoin
EARTH,Earth Token
EB3,EB3coin
EBET,EthBet
EBS,EbolaShare
EBTC,eBTC
EBZ,Ebitz
EC,Eclipse
ECASH,Ethereum Cash
ECC,E-CurrencyCoin
ECHT,e-Chat
ECO,ECOcoin
ECOB,EcoBit
EDC,EducoinV
EDDIE,Eddie coin
EDG,Edgeless
EDGE,EdgeCoin
EDO,Eidoo
EDR,E-Dinar Coin
EDRC,EDRCoin
EFL,E-Gulden
EFYT,Ergo
EGC,EverGreenCoin
EGG,EggCoin
EGO,EGOcoin
EKN,Elektron
EKO,EkoCoin
ELC,Elacoin
ELE,Elementrem
ELITE,EthereumLite
ELIX,Elixir
ELM,Elements
ELS,Elysium
ELT,Eloplay
ELTC2,eLTC
EMB,EmberCoin
EMC,Emercoin
EMC2,Einsteinium
EMD,Emerald
EMIGR,EmiratesGoldCoin
EMPC,EmporiumCoin
EMT,EasyMine
ENE,EneCoin
ENG,Enigma
ENJ,Enjin Coin
ENRG,EnergyCoin
ENT,Eternity
ENTER,EnterCoin (ENTER)
EOC,EveryonesCoin
EON,Exscudo
EOS,EOS
EPY,Empyrean
EQ,EQUI
EQB,Equibit
EQM,Equilibrium Coin
EQT,EquiTrader
EQUAL,EqualCoin
ERB,ERBCoin
ERC,EuropeCoin
ERR,ErrorCoin
ERT,Esports.com
ERY,Eryllium
ESP,Espers
ETBS,EthBits
ETC,Ethereum Classic
ETG,Ethereum Gold
ETH,Ethereum 
ETHD,Ethereum Dark
ETHS,EthereumScrypt
ETN,Electroneum
ETP,Metaverse
ETT,EncryptoTel
EUC,Eurocoin
EVC,Eventchain
EVENT,Event Token
EVIL,EvilCoin
EVX,Everex
EXB,ExaByte (EXB)
EXCL,Exclusive Coin
EXE,ExeCoin
EXIT,ExitCoin
EXP,Expanse
EZC,EZCoin
EZM,EZMarket
F16,F16Coin
FAIR,FairCoin
FAME,FameCoin
FAZZ,FazzCoin
FC,Facecoin
FC2,Fuel2Coin
FCN,FantomCoin 
FCS,CryptoFocus
FCT,Factoids
FDC,FoodCoin
FFC,FireflyCoin
FGZ,Free Game Zone
FIBRE,FIBRE
FIL,FileCoin
FIND,FindCoin
FIRE,FireCoin
FIRST,FirstCoin
FIST,FistBump
FIT,Fitcoin
FJC,FujiCoin
FLAP,Flappy Coin
FLASH,FLASH coin
FLDC,Folding Coin
FLIK,FLiK
FLLW,Follow Coin
FLO,FlorinCoin
FLP,Gameflip
FLT,FlutterCoin
FLVR,FlavorCoin
FLX,Flash
FLY,FlyCoin
FND,FundRequest
FONZ,FonzieCoin
FOREX,ForexCoin
FRAC,FractalCoin
FRAZ,FrazCoin
FRC,FireRoosterCoin
FRE,FreeCoin
FRK,Franko
FRN,Francs
FRST,FirstCoin
FRWC,Frankywillcoin
FSC2,FriendshipCoin
FSN,Fusion
FST,FastCoin
FTC,FeatherCoin
FTP,FuturePoints
FUCK,Fuck Token
FUEL,Etherparty
FUN,FunFair
FUNC,FunCoin
FUTC,FutCoin
FUZZ,Fuzzballs
FX,FCoin
FYN,FundYourselfNow
GAIA,GAIA Platform
GAKH,GAKHcoin
GAM,Gambit coin
GAME,Gamecredits
GAP,Gapcoin
GAS,Gas
GAT,GAT Coin
GAY,GayCoin
GB,GoldBlocks
GBIT,GravityBit
GBRC,GBR Coin
GBT,GameBetCoin
GBYTE,Byteball
GCC,GuccioneCoin
GCN,GCoin
GCR,Global Currency Reserve
GDC,GrandCoin
GEMZ,Gemz Social
GEN,Genstake
GEO,GeoCoin
GGS,Gilgam
GHC,GhostCoin
GHOUL,Ghoul Coin
GHS,Giga Hash
GIFT,GiftNet
GIG,GigCoin
GIM,Gimli
GIVE,GiveCoin
GIZ,GIZMOcoin
GJC,Global Jobcoin
GLA,Gladius
GLC,GlobalCoin
GLD,GoldCoin
GLOBE,Global
GLX,GalaxyCoin
GLYPH,GlyphCoin
GMC,Gridmaster
GML,GameLeagueCoin
GMX,Goldmaxcoin
GNJ,GanjaCoin V2
GNO,Gnosis
GNT,Golem Network Token
GOAT,Goat
GOLOS,Golos
GOOD,GoodCoin
GOON,Goonies
GOT,Giotto Coin
GOTX,GothicCoin
GP,GoldPieces
GPL,Gold Pressed Latinum
GPU,GPU Coin
GRAM,Gram Coin
GRAV,Graviton
GRC,GridCoin
GRE,GreenCoin
GREXIT,GrexitCoin
GRF,Graft Network
GRID,GridPay
GRM,GridMaster
GROW,GrownCoin
GRS,Groestlcoin 
GRT,Grantcoin
GRW,GrowthCoin
GRWI,Growers International
GSM,GSM Coin
GSX,GlowShares
GSY,GenesysCoin
GUE,GuerillaCoin
GUESS,Peerguess
GUNS,GeoFunders
GUP,Guppy
GXC,Gx Coin
GXC*,GenXCoin
H2O,Hydrominer
HAC,Hackspace Capital
HAL,Halcyon
HALLO,Halloween Coin
HAMS,HamsterCoin
HAZE,HazeCoin
HBN,HoboNickels
HBT,Hubiit
HCC,HappyCreatorCoin 
HDG,Hedge Token
HEAT,Heat Ledger
HEDG,Hedgecoin
HEEL,HeelCoin
HGT,Hello Gold
HILL,President Clinton
HIRE,HireMatch
HIRE*,BitHIRE
HKG,Hacker Gold
HMP,HempCoin
HMQ,Humaniq
HNC,Hellenic Coin
HODL,HOdlcoin
HONEY,Honey
HPC,HappyCoin
HRB,Harbour DAO
HSP,Horse Power
HSR,Hshare
HTC,Hitcoin
HTML5,HTML Coin
HUC,HunterCoin
HUGE,BigCoin
HUSH,Hush
HVC,HeavyCoin
HVCO,High Voltage Coin
HVN,Hive
HXT,HextraCoin
HXX,HexxCoin
HYP,Hyperstake
HYPER,HyperCoin
HZ,Horizon
HZT,HazMatCoin
I0C,I0coin
IBANK,iBankCoin
ICASH,ICASH
ICB,IceBergCoin
ICE,iDice
ICN,Iconomi
ICOB,Icobid
ICON,Iconic
ICOO,ICO OpenLedger
ICOS,ICOBox
ICX,ICON Project
IEC,IvugeoEvolutionCoin
IFC,Infinite Coin
IFLT,InflationCoin
IFT,InvestFeed
IGNIS,Ignis
ILC,ILCoin
ILCT,ILCoin Token
IML,IMMLA
IMPCH,Impeach
IMPS,Impulse Coin
IMS,Independent Money System
IMX,Impact
IN,InCoin
INC,Incrementum
INCNT,Incent
INCP,InceptionCoin
IND,Indorse
INDI,IndiCoin
INF8,Infinium-8
INFX,Influxcoin
INPAY,InPay
INSANE,InsaneCoin
INSN,Insane Coin
INV,Invictus
INXT,Internxt
IOC,IOCoin
ION,Ionomy
IOP,Internet of People
IOT,IOTA
IOU,IOU1
IPC,ImperialCoin
ISL,IslaCoin
ITT,Intelligent Trading Technologies
IVZ,InvisibleCoin
IW,iWallet
IWT,IwToken
IXC,IXcoin
IXT,iXledger
J,JoinCoin
JANE,JaneCoin
JBS,JumBucks Coin
JCR,Jincor
JDC,JustDatingSite
JIF,JiffyCoin
JIO,JIO Token
JKC,JunkCoin
JNS,Janus
JOBS,JobsCoin
JOK,JokerCoin
JPC,JackPotCoin
JUDGE,JudgeCoin
JVY,Javvy
JWL,Jewels
KAPU,Kapu
KARM,Karmacoin
KAT,KATZcoin
KAYI,Kayı
KC,Kernalcoin
KCN,Kencoin
KCS,Kucoin
KDC,Klondike Coin
KED,Klingon Empire Darsek
KEX,KexCoin
KEY,KeyCoin
KEY*,SelfKey
KGC,KrugerCoin
KICK,KickCoin
KIN,Kin
KING,King93
KLC,KiloCoin
KMD,Komodo
KNC,Kyber Network
KNC*,Khancoin
KOBO,KoboCoin
KOLION,Kolion
KORE,Kore
KR,Krypton
KRAK,Kraken
KRB,Karbowanec
KRC,KRCoin
KRONE,Kronecoin
KTK,KryptCoin
KUBO,KubosCoin
KURT,Kurrent
KUSH,KushCoin
LA,LAToken
LAB,CoinWorksCoin
LANA,LanaCoin
LAT,Latium
LAZ,Lazarus
LBC,LBRY Credits
LBTC,LiteBitcoin
LC,Lutetium Coin
LDOGE,LiteDoge
LEA,LeaCoin
LEMON,LemonCoin
LENIN,LeninCoin
LEO,LEOcoin
LEPEN,LePenCoin
LEV,Leverj
LFC,BigLifeCoin
LGBTQ,LGBTQoin
LGD,Legends Cryptocurrency
LGD*,Legendary Coin
LIMX,LimeCoinX
LINDA,Linda
LINK,ChainLink
LINX,Linx
LIR,Let it Ride
LIV,LiviaCoin
LK7,Lucky7Coin
LKK,Lykke
LKY,LuckyCoin
LMC,LomoCoin
LNK,Ethereum.Link
LOAN*,Loan
LOC,Loco
LOG,Wood Coin
LOOK,LookCoin
LQD,Liquid
LRC,Loopring
LSD,LightSpeedCoin
LSK,Lisk
LTA,Litra
LTB,Litebar 
LTBC,LTBCoin
LTC,Litecoin
LTCD,LitecoinDark
LTCR,LiteCreed
LTCX,LitecoinX
LTD,Limited Coin
LTH,Lathaan
LTS,Litestar Coin
LUCKY,LuckyBlocks (LUCKY)
LUN,Lunyr
LUX,LUXCoin
LUX*,BitLux
LVG,Leverage Coin
LXC,LibrexCoin
LYB,LyraBar
LYC,LycanCoin
M1,SupplyShock
MAC,MachineCoin
MAD,SatoshiMadness
MAG,Magos
MAID,MaidSafe Coin
MANA,Decentraland
MAPC,MapCoin
MAR,MarijuanaCoin
MARS,MarsCoin 
MARV,Marvelous
MARX,MarxCoin
MARYJ,MaryJane Coin
MASS,Mass.Cloud
MAT,MiniApps
MAT*,Manet Coin
MAX,MaxCoin
MAY,Theresa May Coin
MBI,Monster Byte Inc
MBIT,Mbitbooks
MBRS,Embers
MBT,Multibot
MC,Mass Coin
MCAP,MCAP
MCAR,MasterCar
MCI,Musiconomi
MCN,MonetaVerde
MCO,Monaco
MCRN,MacronCoin
MDA,Moeda
MDC,MedicCoin
MDL,Modulum
MDT,Midnight 
MEC,MegaCoin
MED,MediterraneanCoin
MEDI,MediBond
MEGA,MegaFlash
MEME,Pepe
MER,Mercury
MET,Memessenger
METAL,MetalCoin
MG,Mind Gene
MGO,MobileGo
MI,XiaoMiCoin
MIL,Milllionaire Coin
MILO,MiloCoin
MIN,Minerals Coin
MINE,Instamine Nuggets
MINEX,Minex
MINT,MintCoin
MIS,MIScoin
MIV,MakeItViral
MKR,Maker
MLITE,MeLite
MLN,Melon
MLS,CPROP
MM,MasterMint
MMC,MemoryCoin
MMNXT,MMNXT 
MMXIV,MaieutiCoin
MMXVI,MMXVI
MN,Cryptsy Mining Contract
MNC,MinCoin
MND,MindCoin
MNE,Minereum
MNM,Mineum
MNT,GoldMint
MNY,Monkey
MNZ,Monaize
MOBI,Mobius
MOD,Modum
MOIN,MoinCoin
MOJO,Mojocoin
MONA,MonaCoin
MONETA,Moneta
MONEY,MoneyCoin
MOON,MoonCoin
MOOND,Dark Moon
MOTO,Motocoin
MPRO,MediumProject
MRP,MorpheusCoin
MRS,MarsCoin
MRSA,MrsaCoin
MRT,MinersReward
MRV,Macroverse
MRY,MurrayCoin
MSC,MasterCoin
MSP,Mothership
MST,MustangCoin
MT,Mycelium Token
MTH,Monetha
MTK,Moya Token
MTL,Metal
MTLM3,Metal Music v3
MTN,TrackNetToken
MTR,MasterTraderCoin
MTX,Matryx
MUDRA,MudraCoin
MUE,MonetaryUnit
MUSIC,Musiccoin
MUU,MilkCoin
MWC,MultiWallet Coin
MXT,MartexCoin
MYB,MyBit
MYC,MayaCoin
MYST,Mysterium
MYST*,MysteryCoin
MZC,MazaCoin
N7,Number7
NAMO,NamoCoin
NAN,NanoToken
NANAS,BananaBits
NAS2,Nas2Coin
NAUT,Nautilus Coin
NAV,NavCoin
NBIT,NetBit
NBL,Nybble
NBT,NuBits
NDC,NeverDie
NDOGE,NinjaDoge
NEBL,Neblio
NEBU,Nebuchadnezzar
NEC,NeoCoin
NEF,NefariousCoin
NEO,NEO
NEOS,NeosCoin
NET,NetCoin
NET*,Nimiq Exchange Token
NETC,NetworkCoin
NETKO,Netko
NEU,NeuCoin
NEVA,NevaCoin
NIC,NewInvestCoin
NICE,NiceCoin
NIMFA,Nimfamoney
NKA,IncaKoin
NKC,Nukecoinz
NKT,NakomotoDark
NLC,NoLimitCoin
NLC2,NoLimitCoin
NLG,Gulden
NMB,Nimbus Coin
NMC,NameCoin
NMR,Numerai
NOBL,NobleCoin
NODE,Node
NOO,Noocoin
NOTE,Dnotes
NPC,NPCcoin
NPX,Napoleon X
NRB,NoirBits
NRC,Neurocoin
NRN,Doc.ai Neuron
NRS,NoirShares
NSR,NuShares
NTC,NineElevenTruthCoin
NTCC,NeptuneClassic
NTM,NetM
NTO,Fujinto
NTRN,Neutron
NUBIS,NubisCoin
NUKE,NukeCoin
NUM,NumbersCoin
NVC,NovaCoin
NVST,NVO
NXC,Nexium
NXE,NXEcoin
NXS,Nexus
NXT,Nxt
NXTI,NXTI
NXTTY,NXTTY
NYAN,NyanCoin
NYC,NewYorkCoin
NZC,NewZealandCoin
OAX,OpenANX
OBITS,Obits Coin
OBS,Obscurebay
OC,OrangeCoin
OCL,Oceanlab
OCTO,OctoCoin
ODMC,ODMCoin
ODN,Obsidian
ODNT,Old Dogs New Tricks
OK,OKCash
OLDSF,OldSafeCoin
OLV,OldV
OLYMP,OlympCoin
OMA,OmegaCoin
OMC,OmniCron
OMG,OmiseGo
OMNI,Omni
ONION,DeepOnion
ONX,Onix
OPAL,OpalCoin
OPES,Opes
OPP,Opporty
OPT,Opus
OPTION,OptionCoin
ORB,Orbitcoin
ORLY,OrlyCoin
ORME,Ormeus Coin
ORO,OroCoin
OROC,Orocrypt
OS76,OsmiumCoin
OSC,OpenSourceCoin
OTX,Octanox
OXY,Oxycoin
PAC,PacCoin
PAK,Pakcoin
PARA,ParanoiaCoin
PART,Particl
PASC,Pascal Coin
PASL,Pascal Lite
PAY,TenX
PAYP,PayPeer
PBC,PabyosiCoin
PBKX,Bankex
PBT,Primalbase
PCM,Procom
PCS,Pabyosi Coin
PDC,Project Decorum
PEC,PeaceCoin
PEN,PenCoin
PEPECASH,Pepe Cash
PEX,PosEx
PGL,Prospectors
PHR,Phreak
PHS,PhilosophersStone
PIE,Persistent Information Exchange
PIGGY,Piggy Coin
PING,CryptoPing
PINK,PinkCoin
PINKX,PantherCoin
PIO,Pioneershares
PIRL,Pirl
PIVX,Private Instant Verified Transaction
PIX,Lampix
PIZZA,PizzaCoin
PKB,ParkByte
PKT,Playkey
PLANET,PlanetCoin
PLBT,Polybius
PLM,Algo.Land
PLNC,PLNCoin
PLR,Pillar
PLU,Pluton
PNC,PlatiniumCoin
PND,PandaCoin
PNK,SteamPunk
POE,Po.et
POINTS,Cryptsy Points
POLL,ClearPoll
POLY,PolyBit
POST,PostCoin
POSW,PoSWallet
POT,PotCoin
POWR,Power Ledger
PPC,PeerCoin
PPP,PayPie
PPT,Populous
PPY,Peerplays
PQT,PAquarium
PRC,ProsperCoin
PRE,Premium
PRES,President Trump
PRG,Paragon
PRIME,PrimeChain
PRIX,Privatix
PRM,PrismChain
PRO,Propy
PROC,ProCurrency
PRP,Papyrus
PRX,Printerium
PSB,PesoBit
PSEUD,PseudoCash
PSI,PSIcoin
PST,Primas
PST*,Presearch
PSY,Psilocybin
PTA,PentaCoin
PTC,PesetaCoin
PTOY,Patientory
PTS*,Protoshares
PULSE,Pulse
PUPA,PupaCoin
PUT,PutinCoin
PWR,PowerCoin
PX,PXcoin
PXC,PhoenixCoin
PXI,Prime-X1
PXL,Phalanx
PYC,PayCoin
PYN,Paycentos
PZM,Prizm
QAU,Quantum
QBC,Quebecoin
QBK,QuBuck Coin
QBT,Cubits
QCN,Quazar Coin
QORA,QoraCoin
QRK,QuarkCoin
QRL,Quantum Resistant Ledger
QSLV,Quicksilver coin
QTL,Quatloo
QTUM,QTUM
QTZ,Quartz
QVT,Qvolta
QWARK,Qwark
R,Revain
RADI,RadicalCoin
RADS,Radium
RAIN,Condensate
RATIO,Ratio
RBIES,Rubies
RBIT,ReturnBit
RBR,Ribbit Rewards
RBT,Rimbit
RBX,RiptoBuX
RBY,RubyCoin
RC,Russiacoin
RCC,Reality Clash
RCN,Ripio
RCN*,RCoin
RCX,RedCrowCoin
RDD,ReddCoin
RDN,RadonPay
REA,Realisto
REAL,REAL
REC,Regalcoin
RED,Redcoin
REE,ReeCoin
REP,Augur
REQ,Request Network
REV,Revenu
REX,REX
RGC,RG Coin
RHEA,Rhea
RIC,Riecoin
RICE,RiceCoin
RIDE,Ride My Car
RING,RingCoin
RIPO,RipOffCoin
RISE,Rise
RIYA,Etheriya
RKC,Royal Kingdom Coin
RLC,iEx.ec
RMS,Resumeo Shares
RNC,ReturnCoin
RNDR,Render Token
RNS,RenosCoin
ROCK,Ice Rock Mining
ROK,Rockchain
ROOT,RootCoin
ROOTS,RootProject
ROS,ROS Coin
ROUND,RoundCoin
ROYAL,RoyalCoin
RPC,RonPaulCoin
RPX,Red Pulse
RRT,Recovery Right Tokens
RT2,RotoCoin
RUBIT,Rublebit
RUP,Rupee
RUST,RustCoin
RUSTBITS,Rustbits
RVT,Rivetz
RYC,RoyalCoin
RYCN,RoyalCoin 2.0
RZR,RazorCoin
